,0
219.49920654296875,104.0
259.5185546875,113.0
238.2461395263672,214.0
292.8684997558594,360.0
276.53704833984375,314.0
12.345499992370605,47.0
16.104907989501953,22.0
20.959228515625,44.0
28.68545150756836,11.0
34.155731201171875,6.0
54.32342529296875,79.0
53.111541748046875,78.0
54.95060729980469,32.0
83.5588150024414,55.0
80.4442138671875,7.0
84.7485580444336,118.0
86.53984069824219,85.0
84.1594009399414,94.0
81.26316833496094,37.0
74.78243255615234,14.0
79.02505493164062,101.0
82.56146240234375,104.0
85.62468719482422,86.0
103.78882598876953,87.0
104.9766845703125,112.0
104.70360565185547,113.0
117.02203369140625,119.0
120.58975219726562,99.0
115.84500122070312,97.0
116.54051208496094,74.0
123.26182556152344,135.0
133.47361755371094,141.0
133.36859130859375,185.0
133.26962280273438,59.0
149.49526977539062,104.0
137.68617248535156,84.0
141.21237182617188,79.0
138.42628479003906,205.0
132.6295623779297,188.0
142.33006286621094,98.0
169.709228515625,126.0
172.92605590820312,81.0
168.3789825439453,165.0
158.6439666748047,231.0
156.54974365234375,169.0
159.62844848632812,118.0
154.87725830078125,94.0
155.89146423339844,215.0
153.64324951171875,104.0
159.8407745361328,223.0
160.61807250976562,67.0
165.21388244628906,170.0
160.51449584960938,134.0
149.62586975097656,238.0
142.75218200683594,101.0
136.75379943847656,212.0
145.12762451171875,186.0
133.22073364257812,167.0
133.80528259277344,135.0
142.4136505126953,179.0
139.75880432128906,137.0
140.15228271484375,190.0
150.81849670410156,154.0
140.28607177734375,78.0
143.76222229003906,192.0
143.32156372070312,249.0
145.78167724609375,177.0
142.34481811523438,188.0
143.74530029296875,185.0
151.8314208984375,171.0
144.1092529296875,141.0
147.7501983642578,106.0
157.37814331054688,189.0
142.21612548828125,195.0
148.19607543945312,126.0
148.00062561035156,164.0
150.83798217773438,124.0
149.20111083984375,143.0
149.24667358398438,137.0
149.708251953125,176.0
158.29249572753906,169.0
155.46240234375,118.0
151.90509033203125,167.0
162.5155792236328,172.0
155.35533142089844,121.0
189.27333068847656,196.0
174.2907257080078,148.0
177.6998748779297,222.0
176.79078674316406,193.0
175.61990356445312,159.0
183.07736206054688,203.0
177.51625061035156,65.0
189.50527954101562,184.0
196.72698974609375,148.0
218.9659423828125,136.0
214.81884765625,200.0
231.707763671875,153.0
253.03292846679688,289.0
231.8287353515625,365.0
230.7957000732422,214.0
226.21339416503906,286.0
227.3052520751953,132.0
233.86354064941406,294.0
229.58465576171875,353.0
231.43856811523438,248.0
228.11398315429688,147.0
235.3837890625,252.0
259.1776428222656,209.0
253.5441436767578,144.0
256.28399658203125,397.0
241.00225830078125,288.0
245.592529296875,198.0
246.7518310546875,62.0
133.50210571289062,122.0
161.6540069580078,204.0
107.97894287109375,188.0
173.47010803222656,194.0
172.4977264404297,177.0
155.23434448242188,169.0
152.442138671875,147.0
160.2590789794922,139.0
158.3567657470703,101.0
156.80467224121094,108.0
166.3499298095703,189.0
155.83001708984375,120.0
155.3153533935547,172.0
144.64242553710938,207.0
147.89602661132812,121.0
147.8701934814453,157.0
143.8180694580078,130.0
152.85891723632812,203.0
137.50555419921875,131.0
141.82395935058594,150.0
133.7222137451172,117.0
132.99832153320312,140.0
132.41378784179688,146.0
130.08067321777344,114.0
129.2234649658203,132.0
139.30447387695312,145.0
138.3821258544922,116.0
139.95355224609375,143.0
145.8534393310547,145.0
146.91989135742188,125.0
152.65603637695312,145.0
160.57827758789062,162.0
167.93798828125,198.0
168.1826171875,171.0
158.27560424804688,177.0
169.22467041015625,174.0
157.38922119140625,146.0
151.7193603515625,165.0
163.1302490234375,166.0
154.9615478515625,166.0
157.2154083251953,156.0
149.9324493408203,174.0
153.1768341064453,140.0
152.47914123535156,144.0
148.8028564453125,132.0
150.14361572265625,167.0
149.83187866210938,201.0
146.8484649658203,144.0
143.86326599121094,156.0
144.54884338378906,180.0
130.57481384277344,114.0
140.792724609375,103.0
137.43051147460938,113.0
137.59434509277344,148.0
125.8788070678711,115.0
117.00794982910156,121.0
125.21243286132812,118.0
117.60301971435547,122.0
116.66791534423828,116.0
116.7447280883789,116.0
116.95526123046875,133.0
126.95577239990234,94.0
126.25758361816406,103.0
126.10551452636719,97.0
120.59345245361328,142.0
121.94631958007812,110.0
128.1436309814453,132.0
135.8796844482422,114.0
137.59384155273438,132.0
130.3020782470703,158.0
137.40914916992188,138.0
139.11468505859375,164.0
142.69070434570312,142.0
143.15182495117188,156.0
143.58175659179688,148.0
142.15841674804688,165.0
139.2834930419922,170.0
134.38265991210938,141.0
133.84986877441406,42.0
132.55453491210938,143.0
117.55206298828125,141.0
121.60781860351562,95.0
117.40418243408203,116.0
120.79887390136719,163.0
125.80277252197266,87.0
120.95162963867188,167.0
118.28067016601562,120.0
116.46318054199219,98.0
128.82005310058594,133.0
111.70091247558594,166.0
108.232421875,82.0
111.45500183105469,83.0
118.47784423828125,112.0
101.44798278808594,126.0
102.16838073730469,95.0
101.9326171875,57.0
102.15985870361328,154.0
102.59329986572266,166.0
95.10306549072266,116.0
90.01322937011719,110.0
86.95124053955078,49.0
98.81790924072266,60.0
102.6286849975586,70.0
100.87567138671875,130.0
95.92608642578125,178.0
104.97720336914062,162.0
96.81580352783203,62.0
89.30307006835938,77.0
96.6099624633789,97.0
95.67164611816406,164.0
94.48322296142578,169.0
102.74390411376953,115.0
104.37117004394531,155.0
110.24180603027344,171.0
116.46736907958984,161.0
45.688175201416016,73.0
61.69837951660156,77.0
73.50817108154297,85.0
92.86904907226562,85.0
93.01177978515625,164.0
93.16383361816406,84.0
93.95604705810547,88.0
91.4247055053711,69.0
83.80880737304688,77.0
84.89064025878906,93.0
85.00051879882812,77.0
85.11933898925781,88.0
81.10883331298828,56.0
81.9915542602539,79.0
80.14137268066406,79.0
79.76081085205078,44.0
80.3105239868164,51.0
80.70014953613281,89.0
64.38056945800781,72.0
72.64344787597656,79.0
63.41941452026367,68.0
64.42059326171875,53.0
64.62895202636719,88.0
65.80242919921875,52.0
69.65978240966797,56.0
64.0407943725586,53.0
55.91535186767578,87.0
57.174991607666016,79.0
64.23356628417969,40.0
56.0594482421875,60.0
62.51723098754883,53.0
57.61820983886719,77.0
53.52052688598633,54.0
54.928253173828125,55.0
52.325618743896484,57.0
58.114383697509766,57.0
59.32208251953125,62.0
60.52659606933594,55.0
61.35420608520508,54.0
60.46229553222656,48.0
58.48573303222656,73.0
64.9115982055664,64.0
61.29463195800781,56.0
65.67989349365234,64.0
63.18647003173828,76.0
69.79813385009766,65.0
65.42012786865234,55.0
63.27086639404297,67.0
63.02252960205078,100.0
60.42408752441406,86.0
63.160987854003906,70.0
63.13807678222656,112.0
63.84208679199219,17.0
64.68475341796875,26.0
61.54689025878906,56.0
62.17974090576172,55.0
60.81079864501953,64.0
62.27157974243164,48.0
62.51689910888672,30.0
31.49492073059082,33.0
38.94245147705078,65.0
29.276247024536133,112.0
31.97017478942871,53.0
29.897891998291016,8.0
22.046371459960938,24.0
14.743788719177246,13.0
15.943814277648926,42.0
15.106897354125977,6.0
16.019737243652344,11.0
16.957754135131836,14.0
10.978904724121094,11.0
11.942656517028809,20.0
12.639544486999512,21.0
14.416590690612793,12.0
14.094618797302246,9.0
14.754876136779785,13.0
13.687703132629395,10.0
12.413908004760742,16.0
13.440927505493164,15.0
12.484662055969238,10.0
12.995878219604492,3.0
12.63416576385498,9.0
10.598974227905273,4.0
