datetime,     001001,001002,001003,001004,001005,001006,001007,001008,001009,001010,001011,001012,001013,001014,001015,001016,001017,001018,001019,001020,001021,001022,001023,001024,001025,001026,001027,001028,001029,001030,001031,001032,001033,001034,001035,001036
5/1/2014 1:00,17.9,7.3,8,12,6.3,16,15,16.7,12,16.9,18.7,16,19,3.6,15,13.8,18.7,9.6,2.1,11,10.8,,11,11,3.3,6.7,,20.1,18.4,8,12.3,16.4,12.9,12.3,10.9,23.1
5/1/2014 2:00,16.6,6.6,7,10.5,6.1,15,14,19.8,21,14.2,16.3,20,26,7.5,15,14.1,24,9.1,11.8,16,8.9,,11,8,2,3.6,,23.1,15.3,6,14.1,9.5,13.1,17.4,14.9,26.5
5/1/2014 3:00,16.7,6.9,7,13.2,5,16,16,20.1,18,16.2,,20,26,7,21,20.3,24.6,7.8,7.4,19,6.1,,5,7,3.4,2.3,7,14.8,16.1,5,12.4,4.9,20.8,20.2,16.5,
5/1/2014 4:00,16.5,6.5,7,9.8,4.7,14,16,18.5,14,17.4,11.3,19,26,7.4,19,22.5,21.3,7.7,15.8,19,5.5,,4,5,2,2,4,18.2,14.4,4,11.7,2.7,24,20.8,16.4,16.5
5/1/2014 5:00,16,4.7,7,7.6,4.8,11,14,18.9,11,18.4,10.6,18,24,5.2,16,17.3,18.9,7.2,21.9,10,3.6,,3,6,2,3.7,4,8.1,13.9,4,11,2.8,23,19.4,11.4,15.6
5/1/2014 6:00,15.8,4.3,7,6.2,4.4,10,10,22.2,9,15,9.1,15,23,4,13,14.7,16.6,7.4,20.7,5,3.7,,7,7,2.1,2.5,4,5.4,11.9,4,9.4,2,22.1,13.5,8.5,13
5/1/2014 7:00,16,3.5,8,6.7,3.6,12,12,20.3,10,11.8,8,17,25,3,15,12.4,16.8,6.9,14.3,6,3.4,,14,10,2.5,2,5,4.8,11.8,5,7.5,2,20.4,13.2,5.1,11.2
5/1/2014 8:00,16.1,4.6,8,9.9,4.2,20,18,16.4,18,12.4,11.5,24,29,2,23,11.6,22.6,9.5,19,17,3.5,,26,15,4,2.2,10,6.5,11.9,8,8.6,2.8,24.5,21.2,6.4,15
5/1/2014 9:00,19.9,9.2,14,13.2,8.9,25,19,21.2,29,20.7,14.1,33,34,5.1,29,19.6,33.9,15.2,29.5,28,5.4,,31,18,9.6,2,22,13.7,14.5,10,13.1,6.3,35.2,58.3,16.6,36
5/1/2014 10:00,28.8,11.4,16,23.6,15.2,26,26,31.4,35,31.8,17.2,38,38,11.2,34,24.2,45.2,21.5,38.2,34,16.2,,31,22,14.9,2,28,25.1,18,14,15.6,14.1,34.7,69.2,25.1,50.6
5/1/2014 11:00,33.1,14.2,18,26.7,22.8,29,33,42.5,40,41.2,22.2,37,38,28.8,37,30.9,47.7,29.5,31.5,37,26.7,,31,24,18,2.1,32,31.3,19.5,20,16.2,24.3,35.4,60.2,33.2,54
5/1/2014 12:00,39,17.9,26,30.7,28.6,35,39,57.4,46,38.2,31.6,39,40,30,41,32.9,42.8,26.7,27.7,39,32.3,,31,25,23.9,7.1,31,37.2,22.7,21,16,30.3,29.3,46.5,30.5,55.3
5/1/2014 13:00,42.8,27.7,36,33.1,33.1,42,40,80.1,41,39.8,41.2,36,42,29.7,41,37,43,25.9,29.2,40,46.1,,26,27,29,8,31,35.8,22.3,23,17.3,31.1,26.7,41.4,29.3,56.9
5/1/2014 14:00,39.9,60.9,34,39.5,36.2,47,37,52.5,42,38.8,44.6,37,41,31.8,40,40.1,39.3,27.4,21.2,40,45,,26,43,53.4,10.9,29,31,22.9,34,17.4,31.5,23.4,38,24.9,61.9
5/1/2014 15:00,45.7,49.7,30,37,36.4,45,42,48.1,42,40.6,48.6,34,42,34.4,40,39.8,41.8,24.9,19.7,39,46.5,,26,53,52.2,8.1,30,25.8,23.7,49,22.1,26.2,21.1,33.9,23.6,67.2
5/1/2014 16:00,55.6,43.2,36,38.8,37,48,39,52.7,42,38.1,49.4,38,44,31.8,46,42.2,43.1,23.1,25.3,43,41.5,,24,43,40,9.4,30,25.2,30.1,38,39,23.1,24.9,31.2,21.4,60.7
5/1/2014 17:00,51.8,48.1,34,40.8,31.2,39,37,56.7,34,39.2,45,33,40,34,35,42.7,39.6,22.2,22.5,35,36.3,,23,20,40.7,2.8,23,24.6,38.8,12,35,22.4,25.1,29.8,18.9,47.3
